522	 536.167	202.343	 8748	LGNLAG+MyriadMM-It_400_600_	_any_
522	 533.979	215.44	 7000	LGNLAG+MyriadMM-It_400_600_	_n_
522	 533.792	219.174	 7600	Minion-Regular	_ _
522	 536.167	220.926	 8748	LGNLAG+MyriadMM-It_400_600_	_ …  any_
522	 533.979	247.534	 7000	LGMPJM+MyriadMM_400_600_	_0_
522	 536.167	251.123	 8748	LGNLAG+MyriadMM-It_400_600_	_  any_
522	 533.979	267.394	 7000	LGNLAG+MyriadMM-It_400_600_	_n_
522	 536.167	348.5	 9500	Minion-Regular	_Duplicat_
522	 536.167	381.402	 9500	Minion-Regular	_e ar_
522	 536.167	395.303	 9500	Minion-Regular	_bitr_
522	 536.167	409.211	 9500	Minion-Regular	_ar_
522	 536.167	417.083	 9500	Minion-Regular	_y element_
522	 522.667	94.525	 8748	LGNLAG+MyriadMM-It_400_600_	_any_
522	 520.479	107.622	 7000	LGNLAG+MyriadMM-It_400_600_	_n_
522	 520.292	111.355	 7600	Symbol	_-_
522	 520.479	115.526	 7000	LGMPJM+MyriadMM_400_600_	_1_
522	 522.667	119.114	 9500	Minion-Regular	_ _
522	 522.667	121.297	 8748	LGNLAG+MyriadMM-It_400_600_	_ …  any_
522	 520.479	147.906	 7000	LGMPJM+MyriadMM_400_600_	_0_
522	 522.667	151.495	 8748	LGNLAG+MyriadMM-It_400_600_	_  n  j_
522	 522.667	172.5	 8748	LGMGDF+MyriadMM_565_600_	_r_
522	 522.667	175.561	 8748	LGMGDF+MyriadMM_565_600_	_oll_
522	 522.667	193.721	 8748	LGNLAG+MyriadMM-It_400_600_	_any_
522	 520.292	206.819	 7600	Minion-Regular	_(_
522	 520.479	210.269	 7000	LGNLAG+MyriadMM-It_400_600_	_j_
522	 520.292	211.855	 7600	Symbol	_-_
522	 520.479	216.026	 7000	LGMPJM+MyriadMM_400_600_	_1_
522	 520.292	220.198	 7600	Minion-Regular	_) mo_
522	 520.292	234.993	 7600	Minion-Regular	_d _
522	 520.479	240.775	 7000	LGNLAG+MyriadMM-It_400_600_	_n_
522	 522.667	244.508	 9500	Minion-Regular	_ _
522	 522.667	246.691	 8748	LGNLAG+MyriadMM-It_400_600_	_ …  _
522	 522.667	260.933	 8748	LGNLAG+MyriadMM-It_400_600_	_any_
522	 520.479	274.029	 7000	LGMPJM+MyriadMM_400_600_	_0_
522	 522.667	277.618	 8748	LGNLAG+MyriadMM-It_400_600_	_  any_
522	 520.479	293.889	 7000	LGNLAG+MyriadMM-It_400_600_	_n_
522	 520.292	297.623	 7600	Symbol	_-_
522	 520.479	301.794	 7000	LGMPJM+MyriadMM_400_600_	_1_
522	 522.667	305.382	 9500	Minion-Regular	_ _
522	 522.667	307.565	 8748	LGNLAG+MyriadMM-It_400_600_	_ …  any_
522	 520.479	334.174	 7000	LGNLAG+MyriadMM-It_400_600_	_j_
522	 520.292	335.76	 7600	Minion-Regular	_ mo_
522	 520.292	347.739	 7600	Minion-Regular	_d _
522	 520.479	353.519	 7000	LGNLAG+MyriadMM-It_400_600_	_n_
522	 511.167	348.5	 9500	Minion-Regular	_Ro_
522	 511.167	359.158	 9500	Minion-Regular	_l_
522	 511.167	361.588	 9500	Minion-Regular	_l_
522	 511.167	363.98	 9500	Minion-Regular	_ _
522	 511.167	366.17	 8748	LGNLAG+MyriadMM-It_400_600_	_n_
522	 511.167	370.842	 9500	Minion-Regular	_ elements up _
